ticker,official_name,name,description,sector,industry,website,shortname,stock_type
NKSH,Нижкамшина,Нижнекамскшина ПАО - обыкн.,Unknown,Промышленное производство,Производство оригинальных автомобильных запчастей,http://www.shinakama.tatneft.ru/,Нижкамшина,Обыкновенная
NLMK,НЛМК ао,"ПАО ""НЛМК"" - обыкн.","«ПАО Новолипецкий металлургический комбинат» — это российская вертикально-интегрированная металлургическая компания. Она производит широкий ассортимент плоского и длинномерного проката, в том числе слябовые заготовки, горячекатаный и холоднокатаный лист, оцинкованную, предварительно окрашенную и электротехническую сталь, арматуру и металлические изделия. Продукция компании используется в различных отраслях, от строительства и машиностроения до производства энергетического оборудования и морских ветряных мельниц. Мощность производства сырой стали составляет более 17 миллионов тонн в год. Все горнодобывающие активы компании расположены внутри страны, а также 94% её сталелитейных мощностей. Кроме того, прокатные активы ПАО «Новолипецкий металлургический комбинат» расположены в Российской Федерации (56%), Европе (25%) и США (19%).",Несырьевые полезные ископаемые,Сталь,http://nlmk.com/,НЛМК ао,Обыкновенная
NMTP,НМТП ао,НМТП (ПАО) - обыкн.,Unknown,Транспорт,Прочие виды транспорта,http://www.nmtp.info/,НМТП ао,Обыкновенная
NSVZ,iНаукаСвяз,Наука-Связь ПАО - обыкн.,Unknown,Связь,Специализированные телекоммуникации,http://www.naukanet.ru/,iНаукаСвяз,Обыкновенная
OGKB,ОГК-2 ао,ОГК-2 ПАО - обыкн.,Unknown,Коммунальные услуги,Электроэнергетика,http://www.ogk2.ru/,ОГК-2 ао,Обыкновенная
OKEY,OKEY-гдр,ГДР OKEY Group S.A. ORD SHS,Unknown,Розничная торговля,Продуктовая розница,http://www.okmarket.ru/,OKEY-гдр,Обыкновенная
OZPH,iОзонФарм,Unknown,Unknown,Здравоохранение,Фармацевтика,Unknown,iОзонФарм,Обыкновенная
PMSB,ПермьЭнСб,"""Пермэнергосбыт"" ПАО - обыкн.",Unknown,Коммунальные услуги,Электроэнергетика,http://www.energos.perm.ru/,ПермьЭнСб,Обыкновенная
PMSBP,ПермьЭнС-п,"""Пермэнергосбыт"" ПАО - прив.",Unknown,Коммунальные услуги,Электроэнергетика,http://www.energos.perm.ru/,ПермьЭнС-п,Привилегированная
PRFN,ЧЗПСН ао,ЧЗПСН-Профнастил (ПАО) - обыкн.,Unknown,Промышленное производство,Строительные материалы,http://www.profnasteel.ru/,ЧЗПСН ао,Обыкновенная
RASP,Распадская,ПАО Распадская - обыкн.,Unknown,Энергетические и минеральные ресурсы,Уголь,http://www.raspadskaya.com/,Распадская,Обыкновенная
RBCM,ГК РБК ао,ГК РБК ПАО - обыкн.,Unknown,Технологии,Интернет-сервисы и ПО,http://www.rbcholding.com/,ГК РБК ао,Обыкновенная
RDRB,РДБанк ао,РоссийскийДорож Банк ПАО - обыкн.,Unknown,Финансы,Основные банки,http://www.rdb.ru/,РДБанк ао,Обыкновенная
RENI,Ренессанс,Ренессанс Страхование - обыкн.,Unknown,Финансы,Услуги страховых брокеров,http://www.invest.renins.ru/,Ренессанс,Обыкновенная
