ticker,official_name,name,description,sector,industry,website
VEON-RX,VEON,Unknown,Unknown,Связь,Беспроводные телекоммуникации,http://www.veon.com/
VGSB,ВолгЭнСб,Unknown,Unknown,Коммунальные услуги,Электроэнергетика,http://www.energosale34.ru/
VGSBP,ВолгЭнСб-п,Unknown,Unknown,Коммунальные услуги,Электроэнергетика,http://www.energosale34.ru/
VLHZ,ВХЗ-ао,Unknown,Unknown,Обрабатывающая промышленность,Химическая промышленность: специализированные химикаты,http://www.vhz-jsc.ru/
VRSB,ТНСэнВорон,Unknown,Unknown,Коммунальные услуги,Электроэнергетика,http://www.voronezh.tns-e.ru/
VRSBP,ТНСэнВор-п,Unknown,Unknown,Коммунальные услуги,Электроэнергетика,http://www.voronezh.tns-e.ru/
WTCM,ЦМТ ао,Unknown,Unknown,Финансы,Девелопмент недвижимости,http://www.wtcmoscow.ru/
WTCMP,ЦМТ ап,Unknown,Unknown,Финансы,Девелопмент недвижимости,http://www.wtcmoscow.ru/
YAKG,ЯТЭК ао,Unknown,Unknown,Коммунальные услуги,Газоснабжение,http://www.yatec.ru/
YKEN,Якутскэнрг,Unknown,Unknown,Коммунальные услуги,Электроэнергетика,http://www.yakutskenergo.ru/
YKENP,Якутскэн-п,Unknown,Unknown,Коммунальные услуги,Электроэнергетика,http://www.yakutskenergo.ru/
YRSB,ТНСэнЯр,Unknown,Unknown,Коммунальные услуги,Электроэнергетика,Unknown
YRSBP,ТНСэнЯр-п,Unknown,Unknown,Коммунальные услуги,Электроэнергетика,Unknown
ZAYM,Займер ао,Unknown,Unknown,Unknown,Unknown,Unknown
ZVEZ,ЗВЕЗДА ао,Unknown,Unknown,Промышленное производство,Промышленное оборудование,http://www.zvezda.spb.ru/
ASTR,Астра ао,Unknown,Unknown,Unknown,Unknown,Unknown
BANE,Башнефт ао,Unknown,Unknown,Энергетические и минеральные ресурсы,Интегрированная нефтяная промышленность,http://www.bashneft.ru/
BELU,НоваБев ао,Unknown,Unknown,Потребительские товары недлительного пользования,Напитки: алкогольные,http://novabev.com/
CHMF,СевСт-ао,Unknown,Unknown,Несырьевые полезные ископаемые,Сталь,http://www.severstal.com/
CNRU,ЦИАН,Unknown,Unknown,Unknown,Unknown,Unknown
DATA,iАренадата,Unknown,Unknown,Unknown,Unknown,Unknown
DIAS,iДиасофт,Unknown,Unknown,Unknown,Unknown,Unknown
IVAT,iИВА,Unknown,Unknown,Unknown,Unknown,Unknown
LEAS,Европлан,Unknown,Unknown,Unknown,Unknown,Unknown
LKOH,ЛУКОЙЛ,Unknown,Unknown,Энергетические и минеральные ресурсы,Переработка и продажа нефти,http://www.lukoil.com/
LMBZ,Ламбумиз,Unknown,Unknown,Unknown,Unknown,Unknown
MBNK,МТС Банк,Unknown,Unknown,Финансы,Региональные банки,http://www.mtsbank.ru/
